school,lat,lng,type
Amaroo School,-35.163986,149.129705,combined
Kingsford Smith School,-35.227532,149.021001,combined
Caroline Chisholm School,-35.418155,149.122047,combined
Charles Weston School,-35.322603,149.042848,primary
Gordon Primary,-35.455517,149.086978,primary
Majura Primary,-35.238509,149.15501,primary
Maribyrnong Primary,-35.235115,149.102261,primary
Mawson Primary,-35.358505,149.097655,primary
Red Hill Primary,-35.339741,149.132893,primary
Black Mountain School,-35.265224,149.112366,special
Cranleigh School,-35.224913,149.02911,special
Malkara School,-35.337447,149.09402,special
The Woden School,-35.326599,149.092398,special
